코드번호,종목명,주가,업종(소),순위,거래대금 (5일평균,억),
A017250,인터엠,1569,전자기기,1,1.7,
A123700,SJM,3895,기타 자동차부품,2,1.93,
A041650,상신브레이크,3465,제동장치,3,2.41,
A092780,동양피스톤,5520,기타 자동차부품,4,1.67,
A225590,패션플랫폼,1410,의류,5,2.25,
A038010,제일테크노스,8620,거푸집,6,12.22,
A192390,윈하이텍,3390,거푸집,7,2.15,
A054040,한국컴퓨터,4970,디스플레이 부품,8,4.22,
A131100,초록뱀이앤엠,2135,2차전지,9,0.48,
A004840,DRB동일,5560,기타 자동차부품,10,2.81,
A088910,동우팜투테이블,3020,식료품,11,6.46,
A103230,에스앤더블류,4675,조선기자재,12,2.53,
A900070,글로벌에스엠,658,기계,13,0.98,
A020400,대동금속,11690,엔진부품,14,51.09,
A018680,서울제약,3825,제약,15,2.38,
A069730,DSR제강,4550,선재(와이어),16,1,
A005670,푸드웰,4940,식료품,17,1.15,
A054930,유신,36850,중견건설사,18,163.57,
A010240,흥국,6200,중장비 및 관련품,18,1.46,
A264900,크라운제과,8540,식료품,20,1.63,
A089470,HDC현대EP,4035,차량 내장재,21,1.27,
A021320,KCC건설,4960,중견건설사,22,0.43,
A009300,삼아제약,16530,제약,23,1.91,
A212560,네오오토,7200,변속기부품,24,6.67,
A098660,에스티오,2725,의류,25,1.9,
A024830,세원물산,7090,차체부품,26,0.27,
A080010,이상네트웍스,5420,전자상거래,27,0.66,
A290120,대유에이피,4280,기타 자동차부품,28,9.68,
A006660,삼성공조,9620,공조부품,29,0.68,
A003650,미창석유,71400,윤활유,30,0.47,
A013870,지엠비코리아,4580,변속기부품,31,0.7,
A009770,삼정펄프,24950,종이,32,0.37,
A155660,DSR,4635,스테인리스,33,0.6,
A004780,대륙제관,4165,용기 및 포장재,34,0.62,
A060380,동양에스텍,2160,강판,34,1.79,
A065710,서호전기,18940,운송인프라,36,0.51,
A008830,대동기어,8840,동력전달장치,37,254.67,
A140520,대창스틸,2720,강판,38,0.69,
A006090,사조오양,8400,식료품,39,1.28,
A037330,인지디스플레,2070,디스플레이 부품,40,10.74,
A043370,피에이치에이,8560,전장부품,41,11.42,
A005430,한국공항,40500,운송인프라,42,5.11,
A032540,TJ미디어,5940,레저,42,2.33,
A007280,한국특강,1989,제강,44,0.95,
A004590,한국가구,4290,가구,45,1.31,
A066620,국보디자인,13950,중견건설사,46,2.17,
A005710,대원산업,5590,차량 시트,47,0.6,
A069510,에스텍,8930,전자기기,48,1.17,
A129260,인터지스,2370,운송인프라,48,0.99,
A066130,하츠,5000,건축자재,50,0.99,
A359090,씨엔알리서치,1313,바이오,51,2.36,
A011560,세보엠이씨,8420,중견건설사,52,1.28,
A322780,코퍼스코리아,2355,미디어,53,8.59,
A053620,태양,7600,용기 및 포장재,54,0.48,
A339950,아이비김영,1823,교육,55,3.36,
A163560,동일고무벨트,6280,기타 자동차부품,56,0.68,
A001380,SG글로벌,1511,차량 시트,57,4.58,
A008260,NI스틸,6300,제강,58,5.29,
A003100,선광,19100,운송인프라,59,5.36,
A000500,가온전선,20400,케이블,60,14.3,
A001770,SHD,23050,용기 및 포장재,61,0.81,
A037230,한국팩키지,2255,용기 및 포장재,62,1.4,
A023350,한국종합기술,6040,중견건설사,63,141.3,
A088790,진도,2175,의류,64,0.94,
A037760,쎄니트,1544,영화,65,0.57,
A377460,위니아에이드,3590,유통,66,1.9,
A009780,엠에스씨,5670,식료품,67,5.25,
A170030,현대공업,7510,차량 시트,68,11.88,
A012690,모나리자,2645,종이,69,1.14,
A002800,신신제약,4850,제약,70,1.39,
A004440,삼일씨엔에스,4255,건축자재,70,1.04,
A332370,아이디피,3565,전자기기,72,0.88,
A037460,삼지전자,7780,통신장비,73,2.05,
A046140,SBS콘텐츠허브,5600,미디어,74,1.84,
A025890,한국주강,2645,조선기자재,75,1.25,
A221980,케이디켐,12970,기타 화학,76,0.53,
A228340,동양파일,3120,건축자재,77,2,
A048430,유라테크,9270,기타 자동차부품,78,27.76,
A090350,노루페인트,8950,페인트,79,12.42,
A017650,대림제지,8490,종이,80,0.56,
A004450,삼화왕관,32950,용기 및 포장재,81,1.1,
A023600,삼보판지,9000,용기 및 포장재,82,2.66,
A337930,브랜드엑스코퍼레이션,4955,의류,83,3.74,
A014570,고려제약,6780,제약,84,2.55,
A032560,황금에스티,7650,스테인리스,85,2.64,
A067830,세이브존I&C,2595,백화점,86,3.71,
A080470,성창오토텍,5270,공조부품,86,1.16,
A014440,영보화학,3425,건축자재,88,0.6,
A306040,에스제이그룹,10030,의류,89,1.36,
A069640,한세엠케이,2725,의류,90,0.66,
A101530,해태제과식품,5570,식료품,91,0.4,
A299170,더블유에스아이,2060,바이오,91,7.64,
A250000,보라티알,12400,식료품,93,27.08,
A340440,세림B&G,2175,용기 및 포장재,94,4.62,
A100840,SNT에너지,21400,플랜트설비,95,5.83,
A050960,수산아이앤티,9800,시스템서비스,96,1.1,
A008040,사조동아원,1025,식료품,97,5.49,
A001540,안국약품,7990,제약,98,42.15,
A263920,휴엠앤씨,1279,화장품,99,2.54,
A009140,경인전자,22550,전기장비,100,0.51,
